,Feature,Importance
13,V14,0.6696344
3,V4,0.057081778
11,V12,0.025020355
7,V8,0.021052817
2,V3,0.018148497
0,V1,0.017849471
9,V10,0.015765142
1,V2,0.01260916
16,V17,0.0121841235
22,V23,0.0114413
12,V13,0.011240301
10,V11,0.010543423
6,V7,0.009711965
17,V18,0.009685704
19,V20,0.008936336
8,V9,0.00843246
5,V6,0.007835491
25,V26,0.0076566273
27,V28,0.007443028
24,V25,0.007324023
15,V16,0.006924671
21,V22,0.0069114333
18,V19,0.006617593
26,V27,0.0065648
23,V24,0.006025608
4,V5,0.005857651
14,V15,0.0056153266
20,V21,0.0054153875
28,Amount,0.00047104838
